label,image_name,centroid_x,centroid_y,area,perimeter,circularity,major_axis_length,minor_axis_length,aspect_ratio,eccentricity,solidity,orientation_degrees,mean_intensity,max_intensity,min_intensity,integrated_intensity,orientation,bbox-0,bbox-1,bbox-2,bbox-3,bbox_width,bbox_height,fluorescence_class,intensity_threshold
6,1 N NO 2_ch00,703.067,476.433,430.0,77.355,0.903,25.361,21.818,1.162,0.51,0.953,-72.818,198.428,255.0,0.0,85324.0,-1.271,465,691,488,716,25,23,High,131.956
7,1 N NO 2_ch00,1002.347,647.316,1073.0,153.433,0.573,47.436,33.679,1.408,0.704,0.854,-9.739,120.802,233.0,10.0,129621.0,-0.17,628,987,674,1021,34,46,Low,131.956
8,1 N NO 2_ch00,1039.133,646.28,1018.0,138.604,0.666,49.61,27.455,1.807,0.833,0.891,35.114,155.223,255.0,4.0,158017.0,0.613,626,1021,670,1057,36,44,High,131.956
9,1 N NO 2_ch00,194.076,667.961,458.0,78.426,0.936,27.289,21.422,1.274,0.619,0.964,27.326,176.832,255.0,8.0,80989.0,0.477,655,183,682,206,23,27,High,131.956
10,1 N NO 2_ch00,181.254,703.617,527.0,103.74,0.615,40.897,18.174,2.25,0.896,0.857,-60.707,110.231,197.0,40.0,58092.0,-1.06,690,163,718,197,34,28,Low,131.956
11,1 N NO 2_ch00,363.706,755.275,974.0,124.468,0.79,41.63,31.288,1.331,0.66,0.927,16.041,174.485,255.0,0.0,169948.0,0.28,732,346,775,381,35,43,High,131.956
12,1 N NO 2_ch00,895.259,761.563,483.0,93.497,0.694,29.815,22.925,1.301,0.639,0.867,-36.557,122.062,255.0,31.0,58956.0,-0.638,746,880,774,909,29,28,Low,131.956
13,1 N NO 2_ch00,753.75,795.927,248.0,58.527,0.91,22.423,14.096,1.591,0.778,0.958,-56.647,131.956,233.0,57.0,32725.0,-0.989,788,744,805,765,21,17,Low,131.956
14,1 N NO 2_ch00,29.972,842.396,856.0,130.468,0.632,42.251,28.605,1.477,0.736,0.891,51.695,164.297,255.0,6.0,140638.0,0.902,828,6,862,50,44,34,High,131.956
15,1 N NO 2_ch00,82.387,999.756,631.0,94.184,0.894,32.206,25.26,1.275,0.62,0.966,-61.932,98.886,195.0,25.0,62397.0,-1.081,988,68,1014,99,31,26,Low,131.956
1,1 N NO 3_ch00,910.058,30.26,634.0,92.083,0.94,31.098,26.124,1.19,0.543,0.971,58.879,218.535,255.0,59.0,138551.0,1.028,17,896,45,926,30,28,High,218.19650000000001
2,1 N NO 3_ch00,652.137,139.303,694.0,200.48,0.217,62.303,35.03,1.779,0.827,0.474,-31.517,139.716,255.0,50.0,96963.0,-0.55,117,632,178,670,38,61,Low,218.19650000000001
3,1 N NO 3_ch00,657.904,186.532,489.0,112.847,0.483,41.36,19.52,2.119,0.882,0.736,-50.952,133.278,233.0,48.0,65173.0,-0.889,168,642,200,675,33,32,Low,218.19650000000001
4,1 N NO 3_ch00,846.165,208.054,1725.0,166.953,0.778,60.946,37.135,1.641,0.793,0.929,64.805,222.006,255.0,40.0,382960.0,1.131,187,820,232,874,54,45,High,218.19650000000001
5,1 N NO 3_ch00,324.513,504.093,353.0,67.941,0.961,21.906,20.607,1.063,0.339,0.967,-36.516,217.858,255.0,55.0,76904.0,-0.637,494,315,516,336,21,22,Low,218.19650000000001
6,1 N NO 3_ch00,591.799,531.59,683.0,98.426,0.886,36.392,24.011,1.516,0.751,0.97,66.87,224.786,255.0,57.0,153529.0,1.167,519,575,545,609,34,26,High,218.19650000000001
7,1 N NO 3_ch00,702.695,677.777,220.0,53.698,0.959,18.177,15.481,1.174,0.524,0.957,48.186,204.605,255.0,42.0,45013.0,0.841,670,694,687,712,18,17,Low,218.19650000000001
8,1 N NO 3_ch00,76.637,753.694,777.0,107.64,0.843,35.4,28.292,1.251,0.601,0.942,1.503,194.952,255.0,67.0,151478.0,0.026,736,63,773,93,30,37,Low,218.19650000000001
9,1 N NO 3_ch00,413.432,1045.895,702.0,96.083,0.956,31.461,28.425,1.107,0.429,0.975,51.815,228.863,255.0,63.0,160662.0,0.904,1031,399,1061,429,30,30,High,218.19650000000001
10,1 N NO 3_ch00,696.162,1154.436,782.0,110.326,0.807,41.781,24.156,1.73,0.816,0.95,-72.679,229.307,255.0,50.0,179318.0,-1.268,1141,677,1169,717,40,28,High,218.19650000000001
1,1 N NO 4_ch00,417.144,151.497,451.0,79.012,0.908,26.303,22.266,1.181,0.532,0.956,-48.528,184.521,255.0,76.0,83219.0,-0.847,139,404,163,430,26,24,Low,214.296
2,1 N NO 4_ch00,573.232,387.863,371.0,69.698,0.96,24.379,19.389,1.257,0.606,0.971,-85.246,223.774,255.0,52.0,83020.0,-1.488,379,562,398,586,24,19,High,214.296
3,1 N NO 4_ch00,1040.665,458.998,812.0,107.64,0.881,37.716,27.609,1.366,0.681,0.968,-37.131,234.749,255.0,48.0,190616.0,-0.648,442,1025,478,1058,33,36,High,214.296
4,1 N NO 4_ch00,526.334,518.928,1075.0,120.569,0.929,38.986,35.207,1.107,0.43,0.976,84.114,234.54,255.0,42.0,252131.0,1.468,502,507,537,546,39,35,High,214.296
5,1 N NO 4_ch00,1041.793,803.322,2146.0,179.48,0.837,59.831,47.072,1.271,0.617,0.976,88.584,204.818,255.0,67.0,439539.0,1.546,781,1012,830,1077,65,49,Low,214.296
6,1 N NO 4_ch00,372.56,892.311,2866.0,236.735,0.643,70.391,58.041,1.213,0.566,0.879,39.832,200.852,255.0,18.0,575641.0,0.695,856,335,928,406,71,72,Low,214.296
1,1 N NO 5_ch00,295.086,136.843,920.0,116.368,0.854,43.005,27.552,1.561,0.768,0.968,51.448,229.522,255.0,29.0,211160.0,0.898,120,275,156,315,40,36,High,212.068
2,1 N NO 5_ch00,714.771,288.3,1054.0,122.912,0.877,44.548,30.304,1.47,0.733,0.977,-80.562,216.321,255.0,31.0,228002.0,-1.406,273,694,303,738,44,30,High,212.068
3,1 N NO 5_ch00,303.488,337.866,201.0,50.87,0.976,17.469,14.698,1.188,0.54,0.957,-76.918,157.139,255.0,46.0,31585.0,-1.342,331,295,346,313,18,15,Low,212.068
4,1 N NO 5_ch00,1134.9,402.712,160.0,44.385,1.021,14.907,13.685,1.089,0.396,0.976,-30.78,191.194,255.0,69.0,30591.0,-0.537,396,1128,410,1142,14,14,Low,212.068
5,1 N NO 5_ch00,256.596,882.69,688.0,187.782,0.245,55.627,36.219,1.536,0.759,0.56,-60.408,133.217,255.0,50.0,91653.0,-1.054,867,238,906,279,41,39,Low,212.068
6,1 N NO 5_ch00,473.888,938.192,338.0,74.284,0.77,30.027,14.737,2.038,0.871,0.944,84.755,212.068,255.0,50.0,71679.0,1.479,930,459,946,488,29,16,Low,212.068
7,1 N NO 5_ch00,462.464,983.934,394.0,72.77,0.935,25.029,20.271,1.235,0.587,0.973,45.625,215.662,255.0,48.0,84971.0,0.796,972,452,995,475,23,23,High,212.068
8,1 N NO 5_ch00,1086.093,1020.785,289.0,74.87,0.648,27.032,15.735,1.718,0.813,0.814,54.599,129.166,218.0,67.0,37329.0,0.953,1012,1073,1032,1097,24,20,Low,212.068
9,1 N NO 5_ch00,1094.773,1054.645,1031.0,155.332,0.537,50.496,30.275,1.668,0.8,0.809,30.747,161.871,255.0,40.0,166889.0,0.537,1032,1072,1077,1114,42,45,Low,212.068
10,1 N NO 5_ch00,554.521,1142.584,587.0,92.77,0.857,29.418,25.803,1.14,0.48,0.939,49.572,226.983,255.0,12.0,133239.0,0.865,1129,541,1157,568,27,28,High,212.068
11,1 N NO 5_ch00,576.107,1153.663,523.0,93.841,0.746,30.216,22.849,1.322,0.654,0.896,11.829,222.598,255.0,27.0,116419.0,0.206,1136,564,1169,588,24,33,High,212.068
