particle_id,area_pixels,area_um2,diameter_um,overlap_area_pixels,overlap_area_um2,overlap_percentage,has_fluorescence,centroid_x,centroid_y,centroid_x_um,centroid_y_um
1,271.0,3.2489719929497505,2.033892726070044,0,0.0,0.0,False,0.996309963099631,44.66789667896679,0.10908946494464945,4.890844345018451
2,28796.0,345.230249110631,20.965705454537577,2181,26.147630688647254,7.573968606750937,True,136.02937908042784,61.63994999305459,14.894332818342827,6.749173864564524
3,50559.0,606.1430811496178,27.780664871224882,773,9.26736291715925,1.5289068217330248,False,361.9922862398386,105.50321406673392,39.635802393401775,11.55191616941593
4,385.0,4.6156982187662505,2.424229671193891,0,0.0,0.0,False,525.7714285714286,7.5064935064935066,57.56855391428572,0.8219122467532468
5,113.0,1.3547373992742502,1.313356474643364,0,0.0,0.0,False,557.2300884955753,3.4690265486725664,61.01307269469027,0.3798358584070797
6,44375.0,532.0041778123438,26.02630894220295,0,0.0,0.0,False,734.6126422535211,82.26591549295775,80.43530934458592,9.00758301802817
7,129191.0,1548.8484898198199,44.40782753121269,453,5.43093842363925,0.35064362068565147,False,1045.0913995556966,197.07772987282397,114.43071515725168,21.57873041583005
8,63.0,0.7552960721617501,0.9806491865389393,0,0.0,0.0,False,526.3333333333334,19.158730158730158,57.63007883333334,2.0977564206349206
9,225.0,2.69748597200625,1.8532527649855877,0,0.0,0.0,False,606.7911111111111,84.72888888888889,66.43968252444445,9.277262595555555
10,232.0,2.7814077578020004,1.881860342126022,0,0.0,0.0,False,603.7586206896551,82.91379310344827,66.10764453448276,9.078521405172413
11,232.0,2.7814077578020004,1.881860342126022,0,0.0,0.0,False,600.7068965517242,79.93103448275862,65.77350057758622,8.751928724137931
12,232.0,2.7814077578020004,1.881860342126022,0,0.0,0.0,False,597.6551724137931,76.94827586206897,65.43935662068967,8.42533604310345
13,232.0,2.7814077578020004,1.881860342126022,0,0.0,0.0,False,594.6034482758621,73.96551724137932,65.10521266379311,8.098743362068967
14,155.0,1.8582681140487503,1.5381873902510383,0,0.0,0.0,False,592.058064516129,71.47096774193548,64.82650968709677,7.825606406451613
15,232.0,2.7814077578020004,1.881860342126022,0,0.0,0.0,False,589.5129310344828,68.99568965517241,64.54783411422414,7.554579545258621
