particle_id,area_um2,diameter_um,overlap_percentage,has_fluorescence,centroid_x,centroid_y
1,3.2609608194920003,2.037641840267616,0.0,False,0.9963235294117647,44.83455882352941
2,345.230249110631,20.965705454537577,7.573968606750937,True,136.02937908042784,61.63994999305459
3,606.1430811496178,27.780664871224882,1.5289068217330248,False,361.9922862398386,105.50321406673392
4,4.6156982187662505,2.424229671193891,0.0,False,525.7714285714286,7.5064935064935066
5,1.342748572732,1.3075322487185856,0.0,False,557.1875,3.4642857142857144
6,532.0041778123438,26.02630894220295,0.0,False,734.6126422535211,82.26591549295775
7,1545.743383745377,44.36329115606003,0.3513479973939751,False,1045.4497176806378,197.03454534173054
8,0.7552960721617501,0.9806491865389393,0.0,False,526.3333333333334,19.158730158730158
9,2.69748597200625,1.8532527649855877,0.0,False,606.7911111111111,84.72888888888889
10,2.7814077578020004,1.881860342126022,0.0,False,603.7586206896551,82.91379310344827
11,2.7814077578020004,1.881860342126022,0.0,False,600.7068965517242,79.93103448275862
12,2.7814077578020004,1.881860342126022,0.0,False,597.6551724137931,76.94827586206897
13,2.7814077578020004,1.881860342126022,0.0,False,594.6034482758621,73.96551724137932
14,1.8582681140487503,1.5381873902510383,0.0,False,592.058064516129,71.47096774193548
15,2.7814077578020004,1.881860342126022,0.0,False,589.5129310344828,68.99568965517241
16,2.7814077578020004,1.881860342126022,0.0,False,586.4612068965517,66.01293103448276
17,1.8582681140487503,1.5381873902510383,0.0,False,583.916129032258,63.541935483870965
18,2.7454412781752504,1.869653551629547,0.0,False,581.3624454148471,60.54585152838428
19,2.7574301047175003,1.8737313177639803,0.0,False,578.3130434782609,57.7304347826087
20,5.490882556350501,2.644089409653531,0.0,False,573.731441048035,53.224890829694324
21,4.2680222490410005,2.3311402157074355,0.0,False,568.1573033707865,50.63202247191011
22,5.239117198963251,2.582760383237696,0.0,False,476.85812356979403,112.46453089244851
23,5.239117198963251,2.582760383237696,0.0,False,480.90389016018304,108.47597254004576
24,5.239117198963251,2.582760383237696,0.0,False,484.9496567505721,104.48741418764303
25,3.9443239324002506,2.2409973690250737,0.0,False,488.49240121580544,100.82978723404256
26,5.251106025505501,2.5857137980199383,0.0,False,492.0342465753425,97.38127853881278
27,5.251106025505501,2.5857137980199383,0.0,False,496.07990867579906,93.39269406392694
28,5.1671842397097505,2.5649684810793976,0.0,False,77.94199535962878,103.18561484918793
29,5.251106025505501,2.5857137980199383,0.0,False,500.1255707762557,89.4041095890411
30,5.26309485204775,2.5886638432440887,0.0,False,79.5990888382688,106.20273348519362
31,84.58117125557376,10.377480040097094,0.0,False,559.3652728561304,101.09071580439405
32,5.7546367402800005,2.706848917710471,0.0,False,524.4145833333333,51.47708333333333
33,5.26309485204775,2.5886638432440887,0.0,False,82.58997722095673,109.23006833712984
34,57.018859034941,8.520485087069087,0.0,False,517.9455424726661,121.24011774600504
35,5.275083678590001,2.5916105304169106,0.0,False,85.74545454545455,112.25681818181818
36,8.835765161638252,3.3541087656471578,0.0,False,90.08005427408412,116.29986431478969
37,5.2990613316745,2.597493876309422,0.0,False,94.05429864253394,120.33710407239819
38,5.2990613316745,2.597493876309422,0.0,False,97.04524886877829,123.36425339366515
39,5.2990613316745,2.597493876309422,0.0,False,100.03619909502262,126.39140271493213
40,5.2990613316745,2.597493876309422,0.0,False,103.02714932126698,129.4185520361991
41,3.5367038299637503,2.1220441028230663,0.0,False,105.52881355932203,131.94237288135594
42,5.2990613316745,2.597493876309422,0.0,False,108.01131221719457,134.4660633484163
43,5.2990613316745,2.597493876309422,0.0,False,111.00226244343891,137.49321266968326
44,5.311050158216751,2.6004305577179925,0.0,False,113.82618510158014,140.51918735891647
45,5.311050158216751,2.6004305577179925,0.0,False,116.81715575620767,143.54627539503386
46,5.311050158216751,2.6004305577179925,0.0,False,119.80812641083521,146.57336343115125
47,0.17983239813375002,0.4785078063401353,0.0,False,601.0,148.0
48,5.311050158216751,2.6004305577179925,0.0,False,122.79909706546276,149.6004514672686
49,3.548692656506,2.1256377448602843,1.0135135135135136,False,125.1891891891892,152.125
50,5.311050158216751,2.6004305577179925,2.708803611738149,False,127.78555304740406,154.65011286681715
51,5.311050158216751,2.6004305577179925,4.740406320541761,False,130.7765237020316,157.67720090293454
52,15.321720320995501,4.416811090149069,0.0,False,622.8763693270736,161.34898278560252
53,8.200357354899001,3.2312566077638043,0.0,False,791.780701754386,170.4546783625731
54,5.09525128045625,2.5470523003345202,0.0,False,790.1505882352941,174.4635294117647
55,0.29972066355625004,0.6177509216618626,0.0,False,609.16,174.72
56,1.678435715915,1.4618654954539598,0.0,False,609.8642857142858,179.75
57,5.239117198963251,2.582760383237696,0.0,False,789.1556064073227,177.47597254004577
58,17.263910220840003,4.688399853887363,0.0,False,514.3222222222222,182.22916666666666
59,3.51272617687925,2.1148384993254274,0.0,False,786.9965870307167,179.99317406143345
60,12.2525807261795,3.9497430683060406,0.0,False,782.7358121330724,184.5283757338552
61,1.3547373992742502,1.313356474643364,0.0,False,541.8495575221239,183.69911504424778
62,1.3547373992742502,1.313356474643364,0.0,False,539.8761061946902,185.75221238938053
63,1.3547373992742502,1.313356474643364,0.0,False,537.9026548672566,187.8053097345133
64,5.19116189279425,2.570912796076109,0.0,False,649.3048498845266,184.69745958429561
65,3.4048267379990005,2.082104715376236,0.0,False,780.2852112676056,189.06690140845072
66,1.0070614295490001,1.1323561436576883,0.0,False,483.6547619047619,195.26190476190476
67,1.3547373992742502,1.313356474643364,0.0,False,535.929203539823,189.858407079646
68,10.80193271456725,3.7085641280360067,0.0,False,471.1798002219756,197.26748057713652
69,0.7433072456195001,0.9728351242687119,0.0,False,641.983870967742,191.67741935483872
70,139.39408620674075,13.322239408622133,0.0,False,795.9102950030102,230.98727100713856
71,2.349810002281,1.7297025806532151,0.0,False,531.204081632653,192.7704081632653
72,0.7193295925350001,0.9570156126802706,0.0,False,451.1666666666667,193.16666666666666
73,0.23977653084500003,0.5525332215996288,0.0,False,448.05,195.7
74,1.342748572732,1.3075322487185856,0.0,False,439.88392857142856,194.99107142857142
75,0.335687143183,0.6537661243592928,0.0,False,445.82142857142856,196.53571428571428
76,0.19182122467600002,0.49420073732949005,0.0,False,455.0,195.75
77,1.71440219554175,1.4774453191047516,0.0,False,533.048951048951,195.6013986013986
78,1.246837960394,1.259969601637506,0.0,False,280.22115384615387,204.23076923076923
79,1.3547373992742502,1.313356474643364,0.0,False,528.0353982300885,198.07079646017698
80,2.0381005121825,1.610897317725667,0.0,False,525.5941176470589,200.64117647058825
81,10.03464781586325,3.574424487473112,4.062126642771804,False,259.4659498207885,183.85185185185185
82,1.3547373992742502,1.313356474643364,0.0,False,523.1061946902655,203.21238938053096
83,5.418949597097001,2.626712949286728,33.6283185840708,True,646.0818584070796,205.87389380530973
84,0.63540780673925,0.8994589187805361,0.0,False,636.0943396226415,206.9433962264151
85,1.3307597461897502,1.3016819632270082,0.0,False,521.6306306306307,205.26126126126127
86,1.055016735718,1.1590034634432995,0.0,False,633.5113636363636,205.97727272727272
87,11.053698071954502,3.7515337531168895,0.0,False,618.5379609544468,205.20390455531452
88,1.83429046096425,1.5282313802007121,0.0,False,694.2091503267974,207.59477124183007
89,1.5345697974080001,1.3978107705322966,0.0,False,436.1015625,208.09375
90,3.3808490849145003,2.074760407780819,0.0,False,412.3156028368794,210.99290780141843
91,0.49154188823225003,0.7911071798379106,0.0,False,452.4146341463415,209.14634146341464
92,72.74819945837301,9.624234221935875,0.0,False,547.1636453526697,228.33668424522082
93,0.23977653084500003,0.5525332215996288,0.0,False,464.0,214.75
94,0.58745250057025,0.8648512903266076,0.0,False,607.9183673469388,220.59183673469389
95,6.27015628159675,2.8254930418244824,0.0,False,864.9694072657744,215.7151051625239
96,0.17983239813375002,0.4785078063401353,0.0,False,428.8666666666667,217.46666666666667
97,2.1819664306895,1.6667831127169805,0.0,False,458.3956043956044,219.45054945054946
98,0.7552960721617501,0.9806491865389393,0.0,False,604.5079365079365,218.28571428571428
99,1.0070614295490001,1.1323561436576883,0.0,False,601.0119047619048,218.86904761904762
100,0.47955306169000006,0.7813999756478939,0.0,False,452.775,224.675
101,1.2348491338517502,1.2538974236364044,73.7864077669903,True,673.6504854368932,223.44660194174756
102,0.5035307147745001,0.8006967078985997,0.0,False,450.23809523809524,227.52380952380952
103,0.44358658206325,0.7515264318683936,0.0,False,444.9189189189189,226.97297297297297
104,0.9351284702955001,1.0911656830142393,0.0,False,684.8717948717949,227.97435897435898
105,8.45212271228625,3.28048424386356,100.0,True,655.6893617021277,230.63262411347517
106,0.25176535738725003,0.5661780718288442,0.0,False,445.04761904761904,230.95238095238096
107,1.0789943888025002,1.1720999634718408,0.0,False,443.9,235.66666666666666
108,0.49154188823225003,0.7911071798379106,0.0,False,680.8536585365854,236.09756097560975
109,3.1051060744427503,1.9883520424154963,0.0,False,487.35907335907336,241.6911196911197
110,1.5945139301192501,1.424850234396201,0.0,False,495.97744360902254,242.48872180451127
111,1.73837984862625,1.4877412298654857,0.0,False,481.048275862069,242.58620689655172
112,1.21087148076725,1.2416639855069027,0.0,False,492.4950495049505,245.52475247524754
113,9.111508172110002,3.4060435283343127,0.0,False,468.2236842105263,247.05526315789473
114,0.527508367859,0.8195392084194519,0.0,False,590.0,246.5
